request_lead_time,event,requested_date,event_date,lead_days,estimated_sandwiches
1–2 months,Cox,2025-08-26T00:00:00.000Z,2025-10-01T00:00:00.000Z,36,170
1–2 months,Cox,2025-08-26T00:00:00.000Z,2025-10-01T00:00:00.000Z,36,200
1–2 months,Westminster,2025-08-29T00:00:00.000Z,2025-10-01T00:00:00.000Z,33,450
1–2 months,NCL,2025-08-31T00:00:00.000Z,2025-10-04T00:00:00.000Z,34,300
1–2 months,Compassion in Action,2025-08-31T00:00:00.000Z,2025-10-05T00:00:00.000Z,35,1300
1–2 months,Tritt Elementary,2025-08-25T00:00:00.000Z,2025-10-07T00:00:00.000Z,43,200
1–2 months,Capstone Academy,2025-08-30T00:00:00.000Z,2025-10-08T00:00:00.000Z,39,100
1–2 months,Greystone Garden Club,2025-08-31T00:00:00.000Z,2025-10-08T00:00:00.000Z,38,200
1–2 months,Marietta High School,2025-09-08T00:00:00.000Z,2025-10-09T00:00:00.000Z,31,200
1–2 months,LDS,2025-09-03T00:00:00.000Z,2025-10-11T00:00:00.000Z,38,500
1–2 months,Dacula United Methodist Church,2025-08-28T00:00:00.000Z,2025-10-18T00:00:00.000Z,51,200
1–2 months,Emory,2025-09-03T00:00:00.000Z,2025-10-18T00:00:00.000Z,45,600
1–2 months,Korean-American Community,2025-09-17T00:00:00.000Z,2025-10-26T00:00:00.000Z,39,200
1–2 months,Rotary Club,2025-09-22T00:00:00.000Z,2025-10-26T00:00:00.000Z,34,200
1–2 months,Synergis,2025-09-08T00:00:00.000Z,2025-10-29T00:00:00.000Z,51,500
request_lead_time,event,requested_date,event_date,lead_days,estimated_sandwiches
